period,sectorid,sectordescription,fueltypeid,fueltypedescription,ash_content,consumption_for_eg,consumption_for_eg_btu,consumption_uto,consumption_uto_btu,cost,cost_per_btu,generation,heat_content,sulfur_content,total_consumption,total_consumption_btu,year
01-01-2025,1,Electric Utility,ALL,all fuels,,0,42.47429,0,0.07525,0,0,5848.67806,0,,0,42.54954,2025
01-01-2025,1,Electric Utility,AOR,all renewables,,0,0.50047,0,0.00174,0,0,140.71338,0,,0,0.50221,2025
01-01-2025,1,Electric Utility,BIO,biomass,,65.142,0.04054,3.373,0.00174,0,0,5.91243,0.617,,68.515,0.04227,2025
01-01-2025,1,Electric Utility,DFO,distillate fuel oil,,4.789,0.02812,0,0,0,0,2.44786,5.8719,,4.789,0.02812,2025
01-01-2025,1,Electric Utility,FOS,fossil fuels,,0,19.24456,0,0.07352,0,5.5117,2574.53638,0,,0,19.31807,2025
01-01-2025,1,Electric Utility,GEO,geothermal,,0,0.23734,0,0,0,0,69.56,0,,0,0.23734,2025
01-01-2025,1,Electric Utility,HPS,hydro-electric pumped storage,,0,0,0,0,0,0,-45.552,0,,0,0,2025
01-01-2025,1,Electric Utility,HYC,conventional hydroelectric,,0,5.10363,0,0,0,0,1495.64129,0,,0,5.10363,2025
01-01-2025,1,Electric Utility,NG,natural gas,,18479.526,19.21404,71.851,0.07352,5.71,5.5117,2571.99152,1.0397,,18551.377,19.28756,2025
01-01-2025,1,Electric Utility,NGO,natural gas & other gases,,18479.526,19.21404,71.851,0.07352,5.71,5.5117,2571.99152,1.0397,,18551.377,19.28756,2025
01-01-2025,1,Electric Utility,NUC,nuclear,,0,17.62563,0,0,0,0,1686.34,0,,0,17.62563,2025
01-01-2025,1,Electric Utility,OB2,biomass,,60.223,0.0384,1.587,0.00096,0,0,5.73463,0.6368,,61.81,0.03936,2025
01-01-2025,1,Electric Utility,OBW,biomass,,60.223,0.0384,1.587,0.00096,0,0,5.73463,0.6368,,61.81,0.03936,2025
01-01-2025,1,Electric Utility,OOG,other gases,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,1,Electric Utility,ORW,other renewables,,0,0.0384,0,0.00096,0,0,5.73463,0,,0,0.03936,2025
01-01-2025,1,Electric Utility,OTH,other,,16.826,0,0,0,0,0,-3.001,0,,16.826,0,2025
01-01-2025,1,Electric Utility,PEL,petroleum liquids,,5.41188,0.03052,0,0,0,0,2.54486,5.6388,,5.41188,0.03052,2025
01-01-2025,1,Electric Utility,PET,petroleum,,5.41188,0.03052,0,0,0,0,2.54486,5.6388,,5.41188,0.03052,2025
01-01-2025,1,Electric Utility,REN,renewable,,65.142,5.6041,3.373,0.00174,0,0,1636.35468,0.617,,68.515,5.60584,2025
01-01-2025,1,Electric Utility,RFO,residual fuel oil,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,1,Electric Utility,SPV,solar photovoltaic,,0,0.07041,0,0,0,0,20.63554,0,,0,0.07041,2025
01-01-2025,1,Electric Utility,SUN,solar,,0,0.07041,0,0,0,0,20.63554,0,,0,0.07041,2025
01-01-2025,1,Electric Utility,WAS,renewable waste products,,0,0.04054,0,0.00174,0,0,5.91243,0,,0,0.04227,2025
01-01-2025,1,Electric Utility,WND,wind,,0,0.15219,0,0,0,0,44.60541,0,,0,0.15219,2025
01-01-2025,1,Electric Utility,WNT,onshore wind turbine,,0,0.15219,0,0,0,0,44.60541,0,,0,0.15219,2025
01-01-2025,1,Electric Utility,WOO,waste oil and other oils,,0.62288,0.0024,0,0,0,0,0.097,3.8464,,0.62288,0.0024,2025
01-01-2025,2,IPP Non-CHP,ALL,all fuels,,0,43.31165,0,0,0,0,8283.08791,0,,0,43.31165,2025
01-01-2025,2,IPP Non-CHP,AOR,all renewables,,0,21.01131,0,0,0,0,5378.66076,0,,0,21.01131,2025
01-01-2025,2,IPP Non-CHP,BIO,biomass,,2568.184,2.90127,0,0,0,0,208.5228,1.1297,,2568.184,2.90127,2025
01-01-2025,2,IPP Non-CHP,DFO,distillate fuel oil,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,2,IPP Non-CHP,FOS,fossil fuels,,0,22.02581,0,0,0,5.5117,2959.23495,0,,0,22.02581,2025
01-01-2025,2,IPP Non-CHP,GEO,geothermal,,0,3.0191,0,0,0,0,884.84828,0,,0,3.0191,2025
01-01-2025,2,IPP Non-CHP,HYC,conventional hydroelectric,,0,0.27453,0,0,0,0,,0,,0,0.27453,2025
01-01-2025,2,IPP Non-CHP,LFG,landfill gas,,2198.853,1.00202,0,0,0,0,92.78404,0.4557,,2198.853,1.00202,2025
01-01-2025,2,IPP Non-CHP,MLG,municiapl landfill gas,,0,1.00202,0,0,0,0,92.78404,0,,0,1.00202,2025
01-01-2025,2,IPP Non-CHP,NG,natural gas,,21212.013,22.01337,0,0,4.326,5.243325,2958.37695,1.0378,,21212.013,22.01337,2025
01-01-2025,2,IPP Non-CHP,NGO,natural gas & other gases,,21212.013,22.01337,0,0,5.71,5.5117,2958.37695,1.0378,,21212.013,22.01337,2025
01-01-2025,2,IPP Non-CHP,OB2,biomass,,272.303,0.34566,0,0,0,0,25.99751,1.2694,,272.303,0.34566,2025
01-01-2025,2,IPP Non-CHP,OBW,biomass,,272.303,0.34566,0,0,0,0,25.99751,1.2694,,272.303,0.34566,2025
01-01-2025,2,IPP Non-CHP,ORW,other renewables,,0,0.34566,0,0,0,0,25.99751,0,,0,0.34566,2025
01-01-2025,2,IPP Non-CHP,OTH,other,,960.581,0,0,0,0,0,-135.268,0,,960.581,0,2025
01-01-2025,2,IPP Non-CHP,PC,petroleum coke,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,2,IPP Non-CHP,PEL,petroleum liquids,,2.233,0.01244,0,0,0,0,0.858,5.571,,2.233,0.01244,2025
01-01-2025,2,IPP Non-CHP,PET,petroleum,,2.233,0.01244,0,0,0,0,0.858,5.571,,2.233,0.01244,2025
01-01-2025,2,IPP Non-CHP,REN,renewable,,2568.184,21.28584,0,0,0,0,5459.12097,1.1297,,2568.184,21.28584,2025
01-01-2025,2,IPP Non-CHP,SPV,solar photovoltaic,,0,10.32322,0,0,0,0,3025.56103,0,,0,10.32322,2025
01-01-2025,2,IPP Non-CHP,STH,solar thermal,,0,0.70209,0,0,,,68.164,0,,0,0.70209,2025
01-01-2025,2,IPP Non-CHP,SUN,solar,,0,11.02531,0,0,0,0,3093.72503,0,,0,11.02531,2025
01-01-2025,2,IPP Non-CHP,WAS,renewable waste products,,0,1.34768,0,0,0,0,118.78155,0,,0,1.34768,2025
01-01-2025,2,IPP Non-CHP,WND,wind,,0,4.06562,0,0,0,0,1191.56466,0,,0,4.06562,2025
01-01-2025,2,IPP Non-CHP,WNT,onshore wind turbine,,0,4.06562,0,0,0,0,1191.56466,0,,0,4.06562,2025
01-01-2025,2,IPP Non-CHP,WOO,waste oil and other oils,,2.233,0.01244,0,0,0,0,0.858,5.571,,2.233,0.01244,2025
01-01-2025,2,IPP Non-CHP,WWW,wood and wood wastes,,0,1.5536,0,0,,,89.74124,0,,0,1.5536,2025
01-01-2025,3,IPP CHP,ALL,all fuels,,0,6.1151,0,2.04528,0,0,914.1788,0,,0,8.16038,2025
01-01-2025,3,IPP CHP,AOR,all renewables,,0,0.51025,0,0.48696,0,0,50.49213,0,,0,0.99721,2025
01-01-2025,3,IPP CHP,BIO,biomass,,157.859,0.50879,137.193,0.48696,0,0,50.06394,3.3748,,295.052,0.99575,2025
01-01-2025,3,IPP CHP,BIS,bituminous coal and synthetic coal,,0,0,0,0,,,0,0,,0,0,2025
01-01-2025,3,IPP CHP,BIT,bituminous coal,,0,0,0,0,,,0,0,,0,0,2025
01-01-2025,3,IPP CHP,COL,"coal, excluding waste coal",,0,0,0,0,,,0,0,,0,0,2025
01-01-2025,3,IPP CHP,COW,all coal products,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,DFO,distillate fuel oil,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,FOS,fossil fuels,,0,5.60485,0,1.55832,0,5.5117,863.68667,0,,0,7.16318,2025
01-01-2025,3,IPP CHP,LFG,landfill gas,,98.071,0.04256,70.984,0.03081,0,0,5.19376,0.434,,169.055,0.07337,2025
01-01-2025,3,IPP CHP,MLG,municiapl landfill gas,,0,0.04256,0,0.03081,0,0,5.19376,0,,0,0.07337,2025
01-01-2025,3,IPP CHP,NG,natural gas,,5453.1,5.60485,1498.924,1.55832,4.326,5.243325,863.68667,1.0304,,6952.024,7.16318,2025
01-01-2025,3,IPP CHP,NGO,natural gas & other gases,,5453.1,5.60485,1498.924,1.55832,5.71,5.5117,863.68667,1.0304,,6952.024,7.16318,2025
01-01-2025,3,IPP CHP,OB2,biomass,,31.805,0.01931,39.135,0.02376,0,0,2.06572,0.607,,70.94,0.04306,2025
01-01-2025,3,IPP CHP,OBW,biomass,,31.805,0.01931,39.135,0.02376,0,0,2.06572,0.607,,70.94,0.04306,2025
01-01-2025,3,IPP CHP,ORW,other renewables,,0,0.01931,0,0.02376,0,0,2.06572,0,,0,0.04306,2025
01-01-2025,3,IPP CHP,OTH,other,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,PC,petroleum coke,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,PEL,petroleum liquids,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,PET,petroleum,,0,0,0,0,0,0,0,0,,0,0,2025
01-01-2025,3,IPP CHP,REN,renewable,,157.859,0.51025,137.193,0.48696,0,0,50.49213,3.3748,,295.052,0.99721,2025
